transaction_date,year_transacted,month_transacted,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,2017,01,ANG MO KIO,4 ROOM,588C,ANG MO KIO ST 52,13 TO 15,90,DBSS,2011,93 years 08 months,688000
2017-01,2017,01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,19 TO 21,91,DBSS,2011,93 years 07 months,730000
2017-01,2017,01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,22 TO 24,91,DBSS,2011,93 years 07 months,756000
2017-01,2017,01,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,10 TO 12,112,DBSS,2011,93 years 07 months,770000
2017-01,2017,01,BISHAN,4 ROOM,275A,BISHAN ST 24,34 TO 36,95,DBSS,2011,93 years 07 months,808000
2017-01,2017,01,BISHAN,5 ROOM,275A,BISHAN ST 24,04 TO 06,120,DBSS,2011,93 years 08 months,830000
2017-01,2017,01,KALLANG/WHAMPOA,5 ROOM,9,BOON KENG RD,04 TO 06,115,DBSS,2011,93 years 11 months,858000
2017-01,2017,01,KALLANG/WHAMPOA,5 ROOM,7,BOON KENG RD,25 TO 27,119,DBSS,2011,93 years,1005000
2017-01,2017,01,TAMPINES,5 ROOM,518A,TAMPINES CTRL 7,10 TO 12,109,DBSS,2008,90 years 11 months,730000
2017-01,2017,01,TAMPINES,5 ROOM,518B,TAMPINES CTRL 7,13 TO 15,114,DBSS,2008,90 years,730000
2017-02,2017,02,BISHAN,4 ROOM,273A,BISHAN ST 24,13 TO 15,95,DBSS,2011,93 years 06 months,765000
2017-02,2017,02,BISHAN,4 ROOM,275A,BISHAN ST 24,22 TO 24,95,DBSS,2011,93 years 07 months,788888
2017-02,2017,02,BISHAN,4 ROOM,273A,BISHAN ST 24,25 TO 27,95,DBSS,2011,93 years 07 months,790000
2017-02,2017,02,BISHAN,5 ROOM,275A,BISHAN ST 24,01 TO 03,120,DBSS,2011,93 years 07 months,840000
2017-02,2017,02,BISHAN,5 ROOM,273B,BISHAN ST 24,01 TO 03,120,DBSS,2011,93 years 07 months,890000
2017-02,2017,02,BISHAN,5 ROOM,273B,BISHAN ST 24,40 TO 42,120,DBSS,2011,93 years 07 months,1180000
2017-02,2017,02,KALLANG/WHAMPOA,5 ROOM,8,BOON KENG RD,40 TO 42,107,DBSS,2011,92 years,910000
