transaction_date,year_transacted,month_transacted,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-03,2017,03,KALLANG/WHAMPOA,3 ROOM,53,JLN MA'MOR,01 TO 03,111,Terrace,1972,54 years 04 months,750000
2017-03,2017,03,QUEENSTOWN,3 ROOM,56,STIRLING RD,01 TO 03,108,Terrace,1968,50 years 04 months,870000
2017-03,2017,03,QUEENSTOWN,3 ROOM,55,STIRLING RD,01 TO 03,84,Terrace,1968,50 years 04 months,888888.88
2017-05,2017,05,KALLANG/WHAMPOA,3 ROOM,59,JLN MA'MOR,01 TO 03,181,Terrace,1972,54 years 02 months,810000
2017-05,2017,05,QUEENSTOWN,3 ROOM,53,STIRLING RD,01 TO 03,78,Terrace,1968,50 years 02 months,775000
2017-06,2017,06,KALLANG/WHAMPOA,3 ROOM,55,JLN BAHAGIA,01 TO 03,101,Terrace,1972,54 years 01 month,725000
2017-06,2017,06,KALLANG/WHAMPOA,3 ROOM,38,JLN BAHAGIA,01 TO 03,215,Terrace,1972,54 years 01 month,830000
2017-09,2017,09,KALLANG/WHAMPOA,3 ROOM,54,JLN MA'MOR,01 TO 03,99,Terrace,1972,53 years 10 months,820000
2017-10,2017,10,KALLANG/WHAMPOA,3 ROOM,56,JLN MA'MOR,01 TO 03,78,Terrace,1972,53 years 09 months,685000
2017-10,2017,10,KALLANG/WHAMPOA,3 ROOM,55,JLN BAHAGIA,01 TO 03,91,Terrace,1972,53 years 09 months,758000
2017-12,2017,12,KALLANG/WHAMPOA,3 ROOM,65,JLN MA'MOR,01 TO 03,249,Terrace,1972,53 years 07 months,1053888
2017-12,2017,12,KALLANG/WHAMPOA,3 ROOM,62,JLN MA'MOR,01 TO 03,81,Terrace,1972,53 years 07 months,720000
2018-01,2018,01,KALLANG/WHAMPOA,3 ROOM,63,JLN MA'MOR,01 TO 03,116,Terrace,1972,53 years 06 months,788000
2018-02,2018,02,KALLANG/WHAMPOA,3 ROOM,52,JLN BAHAGIA,01 TO 03,141,Terrace,1972,53 years 05 months,900000
2018-05,2018,05,KALLANG/WHAMPOA,3 ROOM,44,JLN BAHAGIA,01 TO 03,185,Terrace,1972,53 years 02 months,968000
2018-06,2018,06,KALLANG/WHAMPOA,3 ROOM,46,JLN BAHAGIA,01 TO 03,93,Terrace,1972,53 years 02 months,730000
2018-06,2018,06,KALLANG/WHAMPOA,3 ROOM,58,JLN MA'MOR,01 TO 03,174,Terrace,1972,53 years 02 months,950000
2018-08,2018,08,QUEENSTOWN,3 ROOM,55,STIRLING RD,01 TO 03,87,Terrace,1968,48 years 11 months,888000
2018-09,2018,09,KALLANG/WHAMPOA,3 ROOM,41,JLN BAHAGIA,01 TO 03,237,Terrace,1972,52 years 10 months,1185000
2018-10,2018,10,KALLANG/WHAMPOA,3 ROOM,61,JLN TENTERAM,01 TO 03,94,Terrace,1972,52 years 09 months,645000
2018-10,2018,10,KALLANG/WHAMPOA,3 ROOM,38,JLN BAHAGIA,01 TO 03,83,Terrace,1972,52 years 09 months,710000
2018-10,2018,10,QUEENSTOWN,4 ROOM,47,STIRLING RD,01 TO 03,100,Terrace,1968,49 years 02 months,858000
2018-11,2018,11,KALLANG/WHAMPOA,3 ROOM,40,JLN BAHAGIA,01 TO 03,91,Terrace,1972,52 years 08 months,775000
2018-12,2018,12,KALLANG/WHAMPOA,3 ROOM,63,JLN MA'MOR,01 TO 03,110,Terrace,1972,52 years 07 months,693000
